mode,pred_len,seed,window_start,sq_err,abs_err
CD,96,42,11682,0.31533390283584595,0.3927544355392456
CD,96,42,11683,0.31236979365348816,0.3970930874347687
CD,96,42,11684,0.3251551389694214,0.40316736698150635
CD,96,42,11685,0.32788923382759094,0.40839794278144836
CD,96,42,11686,0.3297969698905945,0.40399226546287537
CD,96,42,11687,0.31445249915122986,0.3966478109359741
CD,96,42,11688,0.3108919560909271,0.39083409309387207
CD,96,42,11689,0.31319883465766907,0.39332208037376404
CD,96,42,11690,0.31346338987350464,0.3992677628993988
CD,96,42,11691,0.305641770362854,0.39734068512916565
CD,96,42,11692,0.3131280243396759,0.4006388187408447
CD,96,42,11693,0.30231335759162903,0.38949307799339294
CD,96,42,11694,0.30242839455604553,0.3862370252609253
CD,96,42,11695,0.28903886675834656,0.3795299232006073
CD,96,42,11696,0.2899726331233978,0.3767794370651245
CD,96,42,11697,0.3025544583797455,0.3922772705554962
CD,96,42,11698,0.3113088011741638,0.4003029763698578
CD,96,42,11699,0.305196076631546,0.396854966878891
CD,96,42,11700,0.3310060501098633,0.40221506357192993
CD,96,42,11701,0.3180280923843384,0.39086711406707764
CD,96,42,11702,0.3200176954269409,0.3879425525665283
CD,96,42,11703,0.30926796793937683,0.3878985345363617
CD,96,42,11704,0.3130553960800171,0.38615918159484863
CD,96,42,11705,0.32344862818717957,0.39951270818710327
CD,96,42,11706,0.3217395842075348,0.3974279761314392
CD,96,42,11707,0.30887192487716675,0.3977143466472626
CD,96,42,11708,0.33426037430763245,0.4094654321670532
CD,96,42,11709,0.3254210650920868,0.4021165668964386
CD,96,42,11710,0.32699668407440186,0.39669549465179443
CD,96,42,11711,0.3145861327648163,0.39047005772590637
CD,96,42,11712,0.3085673749446869,0.38749587535858154
CD,96,42,11713,0.31240230798721313,0.3971109986305237
CD,96,42,11714,0.30175209045410156,0.3967995345592499
CD,96,42,11715,0.2783951163291931,0.3883996903896332
CD,96,42,11716,0.29079166054725647,0.3917319178581238
CD,96,42,11717,0.29935649037361145,0.39363807439804077
CD,96,42,11718,0.29604312777519226,0.39190539717674255
CD,96,42,11719,0.30142641067504883,0.40531331300735474
CD,96,42,11720,0.30936169624328613,0.40960198640823364
CD,96,42,11721,0.3157585561275482,0.42484939098358154
CD,96,42,11722,0.31179964542388916,0.4279395639896393
CD,96,42,11723,0.2925952672958374,0.42382368445396423
CD,96,42,11724,0.3139103949069977,0.43148505687713623
CD,96,42,11725,0.30396345257759094,0.424545019865036
CD,96,42,11726,0.30442875623703003,0.4164973199367523
CD,96,42,11727,0.2940390110015869,0.4096324145793915
CD,96,42,11728,0.3112943172454834,0.4181523621082306
CD,96,42,11729,0.31998053193092346,0.4270731806755066
CD,96,42,11730,0.3131738007068634,0.42574793100357056
CD,96,42,11731,0.29239699244499207,0.4183464050292969
CD,96,42,11732,0.3176199197769165,0.43966707587242126
CD,96,42,11733,0.31607988476753235,0.43747109174728394
CD,96,42,11734,0.30254021286964417,0.4229791760444641
CD,96,42,11735,0.2954868674278259,0.4181230664253235
CD,96,42,11736,0.30269697308540344,0.4188227355480194
CD,96,42,11737,0.3081497550010681,0.4226508140563965
CD,96,42,11738,0.2916678786277771,0.4297471046447754
CD,96,42,11739,0.27038106322288513,0.4245672821998596
CD,96,42,11740,0.27828726172447205,0.4264833927154541
CD,96,42,11741,0.28400880098342896,0.4263080358505249
CD,96,42,11742,0.2805509567260742,0.4169425964355469
CD,96,42,11743,0.2696608304977417,0.4122985303401947
CD,96,42,11744,0.2839545011520386,0.42096102237701416
CD,96,42,11745,0.27422425150871277,0.4124881327152252
CD,96,42,11746,0.2800220847129822,0.4292926490306854
CD,96,42,11747,0.25201475620269775,0.40637072920799255
CD,96,42,11748,0.26951491832733154,0.4202127158641815
CD,96,42,11749,0.2700517773628235,0.41488149762153625
CD,96,42,11750,0.27063611149787903,0.39997413754463196
CD,96,42,11751,0.24941708147525787,0.38684844970703125
CD,96,42,11752,0.25309544801712036,0.3830762207508087
CD,96,42,11753,0.2524101436138153,0.3805708885192871
CD,96,42,11754,0.24615560472011566,0.3783515691757202
CD,96,42,11755,0.21862825751304626,0.35652777552604675
CD,96,42,11756,0.23212358355522156,0.3644769489765167
CD,96,42,11757,0.23001088201999664,0.36174657940864563
CD,96,42,11758,0.2291562706232071,0.34964925050735474
